Profile,ProfileLabel,Year,Annual spend,Envelope,Closing net,NPV (m)
2,Profile 2 – 1.01% toward 'Mathematical Best',2031,3374800945.9313135,2500000000.0,1054230469.0388784,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2032,2887224139.8945456,2500000000.0,667006329.1443328,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2033,2607561096.430909,2500000000.0,559445232.7134235,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2034,2633434678.1915154,2500000000.0,426010554.5219079,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2035,2580483301.029293,2500000000.0,345527253.4926148,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2036,3242228662.0612125,2500000000.0,-396701408.56859756,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2037,2492832616.8017554,2500000000.0,-389534025.3703532,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2038,2439900533.1104608,2500000000.0,-329434558.4808138,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2039,2435823474.904222,2500000000.0,-265258033.3850359,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2040,2355709131.7175756,2500000000.0,-120967165.10261169,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2041,2127216679.0909092,2500000000.0,251816155.80647898,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2042,2426267465.301818,2500000000.0,325548690.50466084,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2043,2073064852.4454546,2500000000.0,752483838.0592062,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2044,1542845040.9033523,2500000000.0,1709638797.155854,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2045,3474282967.0346656,2500000000.0,735355830.1211882,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2046,2983974543.403637,2500000000.0,251381286.71755132,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2047,2627049919.237178,2500000000.0,124331367.48037359,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2048,2554308781.916598,2500000000.0,70022585.56377569,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2049,2347851580.2825937,2500000000.0,222171005.2811818,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2050,2262459715.224475,2500000000.0,459711290.05670714,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2051,2211507211.308962,2500000000.0,748204078.7477454,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2052,2288361340.1534,2500000000.0,959842738.5943452,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2053,2880707675.529815,2500000000.0,579135063.0645303,59511.45716368808
